nll,context,environment,tau,beta,lambda,id,round,trial,chosen,contextOrder
15995733915.286594,Spatial,0,4.217569987549005,6.676429988692226,0.9086047582159132,0,0,0,46,0
15995733915.286594,Spatial,0,20.085536923187668,0.049787068367863944,0.26530522329009915,0,0,1,20,0
15995733915.286594,Spatial,0,20.085536923187668,0.049787068367863944,0.06421483116855964,0,0,2,32,0
15995733915.286594,Spatial,0,20.085536923187668,0.049787068367863944,0.4670876616641458,0,0,3,45,0
15995733915.286594,Spatial,0,0.049787068367863944,0.049787068367863944,0.09773111539359472,0,0,4,7,0
15995733915.286594,Spatial,0,0.07724848678063737,0.049787068367863944,0.2086900893396927,0,0,5,14,0
15995733915.286594,Spatial,0,2.382413752291222,0.5634904860846447,0.43404514934337424,0,0,6,6,0
15995733915.286594,Spatial,0,17.90121922222133,2.9258031741860018,0.3613769725029365,0,0,7,15,0
15995733915.286594,Spatial,0,3.3192817927195994,0.3842311429402892,0.38041675769572325,0,0,8,23,0
15995733915.286594,Spatial,0,0.7935104885924555,0.19120118825791632,0.3650164787210687,0,0,9,22,0
15995733915.286594,Spatial,0,13.288793742083895,0.7790129154891391,0.3682532699449721,0,0,10,13,0
15995733915.286594,Spatial,0,2.765420981701206,0.6466968343052815,0.36972862458364913,0,0,11,33,0
15995733915.286594,Spatial,0,0.1774364466531215,0.059790942237271744,0.3627627347800283,0,0,12,0,0
15995733915.286594,Spatial,0,13.875928132553327,0.4380084897617895,0.36785360654765253,0,0,13,2,0
15995733915.286594,Spatial,0,18.633859246933447,0.8260274855019127,0.35816765983188215,0,0,14,16,0
15995733915.286594,Spatial,0,0.942600173844241,0.15145590255979177,0.3620272134290489,0,0,15,9,0
15995733915.286594,Spatial,0,8.40354615666068,0.1346050594753127,0.35245085831905176,0,0,16,35,0
15995733915.286594,Spatial,0,0.1338358046161588,0.35207642142800744,0.3638666956087144,0,0,17,63,0
15995733915.286594,Spatial,0,3.920856014320098,15.661938746388048,0.3678452928496374,0,0,18,56,0
15995733915.286594,Spatial,0,14.099124568163742,0.8419470728560688,0.3742046057751004,0,0,19,7,0
40624797262.43134,Spatial,0,0.9087289835996321,0.7512097178616415,0.3309226491405626,0,1,0,16,0
40624797262.43134,Spatial,0,20.085536923187668,0.049787068367863944,0.4247750263223032,0,1,1,56,0
40624797262.43134,Spatial,0,20.085536923187668,0.049787068367863944,0.1929989154148905,0,1,2,7,0
40624797262.43134,Spatial,0,0.049787068367863944,0.049787068367863944,0.6168378259627725,0,1,3,63,0
