nll,context,environment,tau,beta,lambda,id,round,trial,chosen,contextOrder
4018209452.382968,Spatial,1,2.019727481943272,0.3642257065280296,0.5315663288140134,3,0,0,28,0
4018209452.382968,Spatial,1,0.049787068367863944,0.049787068367863944,0.06484739564851215,3,0,1,35,0
4018209452.382968,Spatial,1,20.085536923187668,0.049787068367863944,0.0956096833975373,3,0,2,22,0
4018209452.382968,Spatial,1,20.085536923187668,0.049787068367863944,0.22286289899517678,3,0,3,38,0
4018209452.382968,Spatial,1,0.049787068367863944,0.049787068367863944,0.19482456800605694,3,0,4,28,0
4018209452.382968,Spatial,1,0.049787068367863944,0.049787068367863944,0.054666928414997824,3,0,5,27,0
4018209452.382968,Spatial,1,0.049787068367863944,0.049787068367863944,0.10319817009608023,3,0,6,19,0
4018209452.382968,Spatial,1,0.049787068367863944,0.049787068367863944,0.19270642846361155,3,0,7,20,0
4018209452.382968,Spatial,1,0.049787068367863944,0.049787068367863944,0.19565453997874235,3,0,8,21,0
4018209452.382968,Spatial,1,0.049787068367863944,0.049787068367863944,0.08664574018477277,3,0,9,21,0
4018209452.382968,Spatial,1,0.08416944987086918,0.049787068367863944,0.0963527711433208,3,0,10,14,0
4018209452.382968,Spatial,1,0.049787068367863944,0.049787068367863944,0.1755374839344187,3,0,11,21,0
4018209452.382968,Spatial,1,0.049787068367863944,0.049787068367863944,0.07736849028543322,3,0,12,21,0
4018209452.382968,Spatial,1,0.049787068367863944,0.049787068367863944,0.08226753341166482,3,0,13,29,0
4018209452.382968,Spatial,1,0.06814894804302227,0.05664674057820243,0.225069292645151,3,0,14,21,0
4018209452.382968,Spatial,1,0.07029829756340869,0.052299965624159256,0.06977894542747162,3,0,15,20,0
4018209452.382968,Spatial,1,0.0657910875626777,0.053117455903528926,0.28895077458921925,3,0,16,20,0
4018209452.382968,Spatial,1,0.21989900802344536,0.050898742864378274,0.28201154327895206,3,0,17,13,0
4018209452.382968,Spatial,1,0.23843819292668658,0.06428696119093402,0.3011514914615304,3,0,18,21,0
4018209452.382968,Spatial,1,7.567915384314406,1.9643738961340589,0.2994614670524856,3,0,19,20,0
81222670546.75453,Spatial,1,1.6568912536023717,0.45371248704727546,0.39342082139372897,3,1,0,28,0
81222670546.75453,Spatial,1,20.085536923187668,0.049787068367863944,2.243091613224152,3,1,1,0,0
81222670546.75453,Spatial,1,20.085536923187668,0.049787068367863944,0.5834887761949529,3,1,2,32,0
81222670546.75453,Spatial,1,20.085536923187668,0.049787068367863944,0.06559532095787032,3,1,3,10,0
81222670546.75453,Spatial,1,20.085536923187668,0.049787068367863944,0.09482187726125171,3,1,4,17,0
81222670546.75453,Spatial,1,20.085536923187668,0.049787068367863944,0.17733601732224055,3,1,5,6,0
81222670546.75453,Spatial,1,10.953661823505332,0.07136548718350838,0.22690822967490917,3,1,6,3,0
81222670546.75453,Spatial,1,19.912165976928296,0.06042342249820832,0.23132910342011273,3,1,7,9,0
81222670546.75453,Spatial,1,17.938956496594166,0.05893581522519262,0.175158752542378,3,1,8,7,0
81222670546.75453,Spatial,1,0.05099895668981017,0.05579961683913855,0.15552189287793783,3,1,9,63,0
81222670546.75453,Spatial,1,16.637022711246676,0.3621704444816016,0.1673227320994078,3,1,10,56,0
81222670546.75453,Spatial,1,0.054935175487377384,0.08105547479104622,0.05001224259576381,3,1,11,55,0
81222670546.75453,Spatial,1,0.05146038618567816,0.16580275468115607,0.11207260959075778,3,1,12,62,0
81222670546.75453,Spatial,1,0.05028319393375716,0.100476786371941,0.05130062237820483,3,1,13,61,0
