,trial,environment,context,meanReward,meanSE
0,0,Smooth,Conceptual,46.34133065685401,6.699575832273846
1,1,Smooth,Conceptual,49.88387105092551,6.898722281221598
2,2,Smooth,Conceptual,53.3243713760383,6.492099936489723
3,3,Smooth,Conceptual,57.1972525160213,6.352973868486226
4,4,Smooth,Conceptual,59.088507636193036,6.279917827281806
5,5,Smooth,Conceptual,61.27674690237243,6.250040006174185
6,6,Smooth,Conceptual,63.14051778341464,6.04661995412116
7,7,Smooth,Conceptual,64.96850519395865,5.9733948682121545
8,8,Smooth,Conceptual,66.1087009950948,6.038041591376561
9,9,Smooth,Conceptual,67.26702061237185,5.811505758701916
10,10,Smooth,Conceptual,70.13786439988755,5.291197389025489
11,11,Smooth,Conceptual,69.84524640642042,5.430967369422865
12,12,Smooth,Conceptual,71.006361152683,5.246990633727423
13,13,Smooth,Conceptual,71.33170717282653,5.144530324737229
14,14,Smooth,Conceptual,71.54233694904804,5.2131564316236405
15,15,Smooth,Conceptual,71.72450461515233,5.0203113164577395
16,16,Smooth,Conceptual,71.15051257821186,5.254068772282115
17,17,Smooth,Conceptual,71.47070303819423,5.135468085954092
18,18,Smooth,Conceptual,71.58654883600211,5.105475312021709
19,19,Smooth,Conceptual,71.66199834986531,5.091843097992085
20,0,Rough,Conceptual,48.3313073774466,5.746055508048168
21,1,Rough,Conceptual,48.38301824247523,5.828216454559074
22,2,Rough,Conceptual,50.58255758924519,5.9515689825673705
23,3,Rough,Conceptual,50.562148673283424,6.210201034734037
24,4,Rough,Conceptual,57.0348300723331,6.138001137814442
25,5,Rough,Conceptual,57.26258817914682,6.23957007879101
26,6,Rough,Conceptual,57.98890462649076,6.108380282302914
27,7,Rough,Conceptual,60.472867274062274,6.015759007447629
28,8,Rough,Conceptual,62.11929956629921,5.8940789631547785
29,9,Rough,Conceptual,62.830851852852135,5.748916127930524
30,10,Rough,Conceptual,63.269290321285276,5.833361139248263
31,11,Rough,Conceptual,64.5742365509791,5.700504196024734
32,12,Rough,Conceptual,65.91631590308013,5.5950555936209
33,13,Rough,Conceptual,66.87175387521337,5.525352440092026
34,14,Rough,Conceptual,66.59685305299124,5.535142081446638
35,15,Rough,Conceptual,66.74383175935591,5.566930601647975
36,16,Rough,Conceptual,67.81860380980618,5.457831940356257
37,17,Rough,Conceptual,68.65248961964201,5.235281586073409
38,18,Rough,Conceptual,67.83630860782995,5.49705339179206
39,19,Rough,Conceptual,68.67333831741718,5.360659518661651
40,0,Smooth,Spatial,46.730219677539296,6.9413222518094955
41,1,Smooth,Spatial,51.39467553485257,6.893821737209963
42,2,Smooth,Spatial,53.5753399901946,6.363567967925255
43,3,Smooth,Spatial,57.12983068506866,6.245380445769777
44,4,Smooth,Spatial,59.275987709618455,6.275693597313071
45,5,Smooth,Spatial,62.105754455935454,6.141312813812749
46,6,Smooth,Spatial,63.6289357763808,6.001324016606208
47,7,Smooth,Spatial,65.63434288320447,5.91952824667694
48,8,Smooth,Spatial,66.93412904511254,5.850777598898444
49,9,Smooth,Spatial,67.85990116643947,5.6216062582993285
50,10,Smooth,Spatial,69.46599953644657,5.360201197448675
51,11,Smooth,Spatial,69.4484833926028,5.401244215726648
52,12,Smooth,Spatial,70.28657305340141,5.371971649804336
53,13,Smooth,Spatial,70.74479377563257,5.22480019478065
54,14,Smooth,Spatial,71.23203488472956,5.1650792517190185
55,15,Smooth,Spatial,71.46396712246191,5.027987222184916
56,16,Smooth,Spatial,71.43261217143811,5.126021263164767
57,17,Smooth,Spatial,71.80416031817477,5.008695510598448
58,18,Smooth,Spatial,71.68237566367512,5.082956263696729
59,19,Smooth,Spatial,71.73040627570543,5.053834766303798
60,0,Rough,Spatial,47.609624826365625,5.689611596488638
61,1,Rough,Spatial,48.070644922889,6.109224136140742
62,2,Rough,Spatial,51.59802489663953,6.00567801053529
63,3,Rough,Spatial,54.02249367485061,6.095267178343553
64,4,Rough,Spatial,57.418449247918275,6.0553504237977736
65,5,Rough,Spatial,59.62330537645845,6.0490993680700695
66,6,Rough,Spatial,60.19223685187756,5.924981687873804
67,7,Rough,Spatial,62.03591081674252,5.8075110512361645
68,8,Rough,Spatial,63.259439631020555,5.659805229170594
69,9,Rough,Spatial,64.08395557507637,5.5663387061135
70,10,Rough,Spatial,64.48613910308437,5.653171261366416
71,11,Rough,Spatial,65.80142418024113,5.438918449883023
72,12,Rough,Spatial,66.27064206949152,5.483378687732592
73,13,Rough,Spatial,67.13289648564827,5.338067879177246
74,14,Rough,Spatial,67.03121804579457,5.307798451896566
75,15,Rough,Spatial,67.07320990061096,5.346575265293883
76,16,Rough,Spatial,67.65456036201716,5.296275902118912
77,17,Rough,Spatial,67.90532790798738,5.192792598091189
78,18,Rough,Spatial,67.51509739929082,5.370605761208922
79,19,Rough,Spatial,68.41208981271026,5.188993251338276
