,trial,environment,context,meanReward,meanSE
0,0,Smooth,Conceptual,47.00511082139857,6.258270707388668
1,1,Smooth,Conceptual,52.46853928990568,6.544309731820196
2,2,Smooth,Conceptual,57.96789226055521,6.58204546233118
3,3,Smooth,Conceptual,61.542535224814145,6.60511005679018
4,4,Smooth,Conceptual,64.00032749032194,6.594265266447663
5,5,Smooth,Conceptual,66.74716981821966,6.517806177440844
6,6,Smooth,Conceptual,69.1271656518855,6.341082762977035
7,7,Smooth,Conceptual,70.78683143889053,6.261622235717263
8,8,Smooth,Conceptual,72.48137931291564,6.120234639980848
9,9,Smooth,Conceptual,73.72387827439984,6.034367194557401
10,10,Smooth,Conceptual,74.56143728737207,5.994084259086649
11,11,Smooth,Conceptual,75.83772355473565,5.84749579630274
12,12,Smooth,Conceptual,76.29932239113187,5.865655366366919
13,13,Smooth,Conceptual,77.3213914444716,5.715237932187132
14,14,Smooth,Conceptual,78.2875368832323,5.579796987343872
15,15,Smooth,Conceptual,78.7101482999659,5.5508645992568235
16,16,Smooth,Conceptual,79.2849708549882,5.4920434794220006
17,17,Smooth,Conceptual,79.67038587929169,5.4449953987995405
18,18,Smooth,Conceptual,80.35516555763645,5.308089718384514
19,19,Smooth,Conceptual,80.54015173308208,5.33684829218369
20,0,Rough,Conceptual,47.15559690278019,5.712525893819006
21,1,Rough,Conceptual,51.89516683498093,5.9873572016756675
22,2,Rough,Conceptual,55.63113048326557,6.195160048854177
23,3,Rough,Conceptual,59.03350127903245,6.24918040054247
24,4,Rough,Conceptual,61.10253568185586,6.273942218727144
25,5,Rough,Conceptual,63.934494400116044,6.267794974768396
26,6,Rough,Conceptual,65.91029689994943,6.248523541956013
27,7,Rough,Conceptual,67.72204658683904,6.228494740736024
28,8,Rough,Conceptual,69.61006595930307,6.152257825319465
29,9,Rough,Conceptual,70.9036050402738,6.095133648107868
30,10,Rough,Conceptual,71.98280822408486,6.0692453669647275
31,11,Rough,Conceptual,73.122525514383,5.9990557410304834
32,12,Rough,Conceptual,74.3872917326214,5.914672025305821
33,13,Rough,Conceptual,75.09233683290016,5.912409866164045
34,14,Rough,Conceptual,75.40870807971991,5.841401646324257
35,15,Rough,Conceptual,76.66982517165849,5.755513187458475
36,16,Rough,Conceptual,77.26651339583611,5.7198110283305
37,17,Rough,Conceptual,77.4572689846525,5.746673578539643
38,18,Rough,Conceptual,78.3583943527395,5.6283541024219925
39,19,Rough,Conceptual,78.78163830770116,5.590261374200669
40,0,Smooth,Spatial,46.72338982134891,6.232187534975288
41,1,Smooth,Spatial,52.755404622650204,6.52820765073372
42,2,Smooth,Spatial,58.85716782694183,6.561698288209687
43,3,Smooth,Spatial,63.1582313572013,6.5203393927131374
44,4,Smooth,Spatial,66.469540211541,6.450818291459688
45,5,Smooth,Spatial,69.45581813386252,6.315046004154639
46,6,Smooth,Spatial,71.67267223779176,6.15718181180882
47,7,Smooth,Spatial,73.62880467779318,5.998668460997531
48,8,Smooth,Spatial,75.216745718326,5.855973850956702
49,9,Smooth,Spatial,76.57467605152533,5.730909367189796
50,10,Smooth,Spatial,77.53618913287669,5.641790078111324
51,11,Smooth,Spatial,78.6573866732128,5.507776314577364
52,12,Smooth,Spatial,79.31745415076138,5.468692872812391
53,13,Smooth,Spatial,80.06899433337546,5.361673484161549
54,14,Smooth,Spatial,80.77479550573452,5.23504044329791
55,15,Smooth,Spatial,81.22984264290416,5.211927699735416
56,16,Smooth,Spatial,81.77932337921517,5.128870177686314
57,17,Smooth,Spatial,82.11331303901513,5.092700438202658
58,18,Smooth,Spatial,82.77378496735177,4.951401979323329
59,19,Smooth,Spatial,82.81460115039509,4.987312602056113
60,0,Rough,Spatial,47.45279331251968,5.707338492768877
61,1,Rough,Spatial,52.46523380362514,6.025152376533996
62,2,Rough,Spatial,57.02657638453487,6.173828430500456
63,3,Rough,Spatial,60.78943834132734,6.215366740821442
64,4,Rough,Spatial,63.633434051418895,6.19392019250653
65,5,Rough,Spatial,66.60647073858554,6.116700969651778
66,6,Rough,Spatial,68.8440128103882,6.070628015355861
67,7,Rough,Spatial,70.88642598789569,5.953830155625619
68,8,Rough,Spatial,72.52948037976131,5.879211980071572
69,9,Rough,Spatial,73.9957883539768,5.807474913224276
70,10,Rough,Spatial,75.25610806033157,5.7173457881622625
71,11,Rough,Spatial,76.27003216284913,5.640215333665023
72,12,Rough,Spatial,77.51007143528419,5.5417168760547915
73,13,Rough,Spatial,78.2651101992202,5.489389903739245
74,14,Rough,Spatial,78.87873057137887,5.382494715399007
75,15,Rough,Spatial,79.90119450896522,5.306462300700926
76,16,Rough,Spatial,80.34746580788887,5.272168701648193
77,17,Rough,Spatial,80.56306908839107,5.277157888649638
78,18,Rough,Spatial,81.38776862088748,5.155815514787988
79,19,Rough,Spatial,81.81775902954313,5.112709195557819
